name,type,url,ModellingCenter,Project,Experiment,GCM,RCM,Run,SoftwareVersion,SimulationDomain,DatasetSubclass
AFRCORDEX44_SMHI-CNRM-CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI;CNRM-CERFACS,CORDEX,RCP45,CNRM-CM5,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-CNRM-CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI;CNRM-CERFACS,CORDEX,RCP85,CNRM-CM5,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/CSIRO-QCCCE-CSIRO-Mk3-6-0_historical_r1i1p1_RCA4_v1_day.ncml,SMHI;QCCCE,CORDEX,Historical,CSIRO-Mk3.6.0,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI;QCCCE,CORDEX,RCP45,CSIRO-Mk3.6.0,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI;QCCCE,CORDEX,RCP85,CSIRO-Mk3.6.0,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-ICHEC-EC-EARTH_r12i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/ICHEC-EC-EARTH_historical_r12i1p1_RCA4_v1_day.ncml,SMHI;ICHEC,CORDEX,Historical,EC-EARTH,RCA4,r12i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/ICHEC-EC-EARTH_rcp45_r12i1p1_RCA4_v1_day.ncml,SMHI;ICHEC,CORDEX,RCP45,EC-EARTH,RCA4,r12i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/ICHEC-EC-EARTH_rcp85_r12i1p1_RCA4_v1_day.ncml,SMHI;ICHEC,CORDEX,RCP85,EC-EARTH,RCA4,r12i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-IPSL-IPSL-CM5A-MR_r1i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/IPSL-IPSL-CM5A-MR_historical_r1i1p1_RCA4_v1_day.ncml,SMHI;IPSL,CORDEX,Historical,CM5A-MR,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-IPSL-IPSL-CM5A-MR_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI;IPSL,CORDEX,RCP45,CM5A-MR,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-IPSL-IPSL-CM5A-MR_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI;IPSL,CORDEX,RCP85,CM5A-MR,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MIROC-MIROC5_r1i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MIROC-MIROC5_historical_r1i1p1_RCA4_v1_day.ncml,SMHI,CORDEX,Historical,MIROC-ESM,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MIROC-MIROC5_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MIROC-MIROC5_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI,CORDEX,RCP45,MIROC-ESM,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MIROC-MIROC5_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MIROC-MIROC5_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI,CORDEX,RCP85,MIROC-ESM,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MOHC-HadGEM2-ES_historical_r1i1p1_RCA4_v1_day.ncml,SMHI;MOHC,CORDEX,Historical,HADGEM2-ES,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MOHC-HadGEM2-ES_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI;MOHC,CORDEX,RCP45,HADGEM2-ES,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MOHC-HadGEM2-ES_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI;MOHC,CORDEX,RCP85,HADGEM2-ES,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MPI-M-MPI-ESM-LR_r1i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MPI-M-MPI-ESM-LR_historical_r1i1p1_RCA4_v1_day.ncml,SMHI;MPI-M,CORDEX,Historical,MPI-ESM-LR,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MPI-M-MPI-ESM-LR_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MPI-M-MPI-ESM-LR_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI;MPI-M,CORDEX,RCP45,MPI-ESM-LR,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-MPI-M-MPI-ESM-LR_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/MPI-M-MPI-ESM-LR_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI;MPI-M,CORDEX,RCP85,MPI-ESM-LR,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-NCC-NorESM1-M_r1i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/NCC-NorESM1-M_historical_r1i1p1_RCA4_v1_day.ncml,SMHI;NCC,CORDEX,Historical,NORESM1-M,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-NCC-NorESM1-M_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/NCC-NorESM1-M_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI;NCC,CORDEX,RCP45,NORESM1-M,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-NCC-NorESM1-M_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/NCC-NorESM1-M_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI;NCC,CORDEX,RCP85,NORESM1-M,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-NOAA-GFDL-GFDL-ESM2M_r1i1p1_RCA4_v1_historical,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/NOAA-GFDL-GFDL-ESM2M_historical_r1i1p1_RCA4_v1_day.ncml,SMHI;GFDL,CORDEX,Historical,GFDL-ESM2M,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-NOAA-GFDL-GFDL-ESM2M_r1i1p1_RCA4_v1_rcp45,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/NOAA-GFDL-GFDL-ESM2M_rcp45_r1i1p1_RCA4_v1_day.ncml,SMHI;GFDL,CORDEX,RCP45,GFDL-ESM2M,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-NOAA-GFDL-GFDL-ESM2M_r1i1p1_RCA4_v1_rcp85,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/NOAA-GFDL-GFDL-ESM2M_rcp85_r1i1p1_RCA4_v1_day.ncml,SMHI;GFDL,CORDEX,RCP85,GFDL-ESM2M,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-KNMI-ECMWF-ERAINT_r1i1p1_RACMO22T_v1_evaluation,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/KNMI/ECMWF-ERAINT_evaluation_r1i1p1_RACMO22T_v1_day.ncml,SMHI;KNMI,CORDEX,Evaluation,ERA-Interim,RACMO22E,r1i1p1,v1,AFR-044,MultiDecadalSimulation
AFRCORDEX44_SMHI-ECMWF-ERAINT_r1i1p1_RCA4_v1_evaluation,projection,http://www.meteo.unican.es/tds5/dodsC/cordex/AFR-44/SMHI/ECMWF-ERAINT_evaluation_r1i1p1_RCA4_v1_day.ncml,SMHI,CORDEX,Evaluation,ERA-Interim,RCA4,r1i1p1,v1,AFR-044,MultiDecadalSimulation
